BTER/ETCETH,ETC/ETH Exchange Rate
BTER/MAXCNY,MAX/CNY Exchange Rate
BTER/XCHBTC,XCH/BTC Exchange Rate
BTER/MAXBTC,MAX/BTC Exchange Rate
BTER/LTCUSD,LTC/USD Exchange Rate
BTER/ROXBTC,ROX/BTC Exchange Rate
BTER/QORABTC,QORA/BTC Exchange Rate
BTER/NAVBTC,NAV/BTC Exchange Rate
BTER/BITCNYCNY,BITCNY/CNY Exchange Rate
BTER/BTSUSD,BTS/USD Exchange Rate
BTER/YACCNY,YAC/CNY Exchange Rate
BTER/DRKCBTC,DRKC/BTC Exchange Rate
BTER/CDCBTC,CDC/BTC Exchange Rate
BTER/CENTCNY,CENT/CNY Exchange Rate
BTER/FLTBTC,FLT/BTC Exchange Rate
BTER/MECBTC,MEC/BTC Exchange Rate
BTER/BLOCKBTC,BLOCK/BTC Exchange Rate
BTER/FTPBTC,FTP/BTC Exchange Rate
BTER/SRCCNY,SRC/CNY Exchange Rate
BTER/BLKBTC,BLK/BTC Exchange Rate
BTER/CKCBTC,CKC/BTC Exchange Rate
BTER/GHOSTBTC,GHOST/BTC Exchange Rate
BTER/DASHUSD,DASH/USD Exchange Rate
BTER/MGWBTC,MGW/BTC Exchange Rate
BTER/NODEBTC,NODE/BTC Exchange Rate
BTER/BTBCNY,BTB/CNY Exchange Rate
BTER/NFDLTC,NFD/LTC Exchange Rate
BTER/KDCBTC,KDC/BTC Exchange Rate
BTER/CMCCNY,CMC/CNY Exchange Rate
BTER/MSCBTC,MSC/BTC Exchange Rate
BTER/DVCCNY,DVC/CNY Exchange Rate
BTER/DTCBTC,DTC/BTC Exchange Rate
BTER/SPARKBTC,SPARK/BTC Exchange Rate
BTER/UNITYBTC,UNITY/BTC Exchange Rate
BTER/BITGLDBTC,BITGLD/BTC Exchange Rate
BTER/SLMBTC,SLM/BTC Exchange Rate
BTER/BUKBTC,BUK/BTC Exchange Rate
BTER/MMCBTC,MMC/BTC Exchange Rate
BTER/BTCDBTC,BTCD/BTC Exchange Rate
BTER/NSRBTC,NSR/BTC Exchange Rate
BTER/XCRBTC,XCR/BTC Exchange Rate
BTER/PRTBTC,PRT/BTC Exchange Rate
BTER/EXCBTC,EXC/BTC Exchange Rate
BTER/REDCNY,RED/CNY Exchange Rate
BTER/NXTTYCNY,NXTTY/CNY Exchange Rate
